Equipe,Games played,Possessions,Points,Rentabilite_possessions_equipe,Field goals made,Field goals attempted,"Field goals, %",2-pt field goals made,2-pt field goals attempted,"2-pt field goals, %",3-pt field goals made,3-pt field goals attempted,"3-pt field goals, %",Free throws made,Free throws attempted,"Free throws, %",Rebounds,Offensive rebounds,Defensive rebounds,Assists,Steals,Turnovers,Blocks,Fouls,Fouls drawn,% vict.,Ranking,Dom.,Ext.,Rentabilite_temps_equipe,True_Shooting_equipe_%,Points_par_tirs_equipe
Paris Basketball,12.0,1219.0,1142.0,1.06,398.0,802.0,49.6%,242.0,394.0,61.4%,156.0,408.0,38.2%,190.0,244.0,77.9%,412.0,134.0,278.0,235.0,72.0,168.0,42.0,246.0,237.0,75%,2,5-0,4-3,101.58333333333333,62.79141374153251,125.58282748306502
JL Bourg-en-Bresse,12.0,1236.0,1068.0,1.0,340.0,752.0,45.2%,238.0,455.0,52.3%,102.0,297.0,34.3%,286.0,367.0,77.9%,400.0,122.0,278.0,257.0,100.0,156.0,31.0,286.0,304.0,66.7%,4,2-4,6-0,103.0,58.45776590620484,116.91553181240968
ASVEL Lyon-Villeurbanne,12.0,1166.0,1066.0,1.05,358.0,705.0,50.8%,244.0,396.0,61.6%,114.0,309.0,36.9%,236.0,301.0,78.4%,385.0,86.0,299.0,269.0,73.0,179.0,30.0,265.0,285.0,75%,3,5-1,4-2,97.16666666666667,63.6463507833397,127.2927015666794
Le Mans,12.0,1218.0,1020.0,0.96,351.0,785.0,44.7%,239.0,460.0,52%,112.0,325.0,34.5%,206.0,264.0,78%,405.0,139.0,266.0,248.0,90.0,163.0,36.0,246.0,256.0,50%,8,4-2,2-4,101.5,56.59372364507968,113.18744729015935
SLUC Nancy Basket,12.0,1193.0,1016.0,0.96,380.0,795.0,47.8%,277.0,482.0,57.5%,103.0,313.0,32.9%,153.0,219.0,69.9%,364.0,99.0,265.0,208.0,85.0,163.0,30.0,218.0,228.0,41.7%,12,4-2,1-5,99.41666666666667,56.99156345359899,113.98312690719798
Chalon Saone,12.0,1185.0,1012.0,0.97,360.0,744.0,48.4%,241.0,445.0,54.2%,119.0,299.0,39.8%,173.0,248.0,69.8%,362.0,95.0,267.0,249.0,81.0,187.0,22.0,247.0,257.0,33.3%,14,3-2,1-6,98.75,59.31170292573144,118.62340585146288
AS Monaco Basket,12.0,1179.0,1007.0,0.96,343.0,752.0,45.6%,247.0,444.0,55.6%,96.0,308.0,31.2%,225.0,306.0,73.5%,414.0,123.0,291.0,237.0,83.0,161.0,49.0,267.0,290.0,58.3%,6,5-1,3-3,98.25,56.787422178110624,113.57484435622125
SIG Strasbourg,12.0,1163.0,997.0,0.98,350.0,728.0,48.1%,229.0,409.0,56%,121.0,319.0,37.9%,176.0,243.0,72.4%,388.0,103.0,285.0,242.0,74.0,186.0,38.0,263.0,244.0,50%,9,4-3,2-3,96.91666666666667,59.70631916830356,119.41263833660712
Nanterre 92,11.0,1086.0,951.0,0.98,353.0,737.0,47.9%,269.0,493.0,54.6%,84.0,244.0,34.4%,161.0,202.0,79.7%,319.0,108.0,211.0,224.0,107.0,147.0,22.0,259.0,228.0,41.7%,10,3-3,2-4,98.72727272727273,57.57495035598392,115.14990071196785
Saint-Quentin,12.0,1189.0,947.0,0.92,331.0,750.0,44.1%,210.0,395.0,53.2%,121.0,355.0,34.1%,164.0,202.0,81.2%,385.0,119.0,266.0,209.0,73.0,185.0,24.0,266.0,234.0,58.3%,5,3-3,4-2,99.08333333333333,56.44430669464048,112.88861338928096
CSP Limoges,12.0,1169.0,933.0,0.92,320.0,750.0,42.7%,200.0,425.0,47.1%,120.0,325.0,36.9%,173.0,243.0,71.2%,387.0,96.0,291.0,241.0,62.0,158.0,31.0,226.0,245.0,41.7%,11,5-1,0-6,97.41666666666667,54.439154180086824,108.87830836017365
Cholet Basket,11.0,1067.0,933.0,1.0,341.0,682.0,50%,256.0,431.0,59.4%,85.0,251.0,33.9%,166.0,232.0,71.6%,333.0,83.0,250.0,239.0,89.0,152.0,24.0,254.0,246.0,81.8%,1,5-1,4-1,97.0,59.49647995102541,118.99295990205081
JDA Dijon Basket,11.0,1054.0,908.0,0.99,323.0,700.0,46.1%,221.0,400.0,55.3%,102.0,300.0,34%,160.0,197.0,81.2%,316.0,81.0,235.0,239.0,69.0,134.0,24.0,250.0,205.0,36.4%,13,1-4,3-3,95.81818181818181,57.71088625616515,115.4217725123303
ESSM Le Portel,12.0,1094.0,859.0,0.89,298.0,703.0,42.4%,208.0,423.0,49.2%,90.0,280.0,32.1%,173.0,215.0,80.5%,350.0,95.0,255.0,182.0,77.0,169.0,33.0,239.0,227.0,25%,15,2-4,1-5,91.16666666666667,53.849047141424265,107.69809428284853
BCM Gravelines-Dunkerque,11.0,1033.0,839.0,0.94,287.0,657.0,43.7%,204.0,407.0,50.1%,83.0,250.0,33.2%,182.0,241.0,75.5%,302.0,75.0,227.0,176.0,84.0,130.0,12.0,211.0,249.0,50%,7,3-4,3-2,93.9090909090909,54.97745858670581,109.95491717341162
La Rochelle Rupella,12.0,1093.0,835.0,0.88,296.0,680.0,43.5%,229.0,409.0,56%,67.0,271.0,24.7%,176.0,236.0,74.6%,304.0,51.0,253.0,208.0,89.0,163.0,24.0,238.0,246.0,8.3%,16,0-6,1-5,91.08333333333333,53.26342110634823,106.52684221269647
