id_lineups,Lineup,Plus/Minus,Minutes,Possessions Equipe,Points Equipe,Field goals attempted Equipe,Field goals made Equipe,2-pt field goals attempted Equipe,2-pt field goals made Equipe,"2-pt field goals, % Equipe",3-pt field goals attempted Equipe,3-pt field goals made Equipe,"3-pt field goals, % Equipe",Free throws attempted Equipe,Free throws made Equipe,"Free throws, % Equipe",Rebounds Equipe,Offensive rebounds Equipe,Defensive rebounds Equipe,Assists Equipe,Steals Equipe,Turnovers Equipe,Fouls Equipe,Possessions Opposant,Points Opposant,Field goals attempted Opposant,Field goals made Opposant,2-pt field goals attempted Opposant,2-pt field goals made Opposant,"2-pt field goals, % Opposant",3-pt field goals attempted Opposant,3-pt field goals made Opposant,"3-pt field goals, % Opposant",Free throws attempted Opposant,Free throws made Opposant,"Free throws, % Opposant",Rebounds Opposant,Offensive rebounds Opposant,Defensive rebounds Opposant,Assists Opposant,Steals Opposant,Turnovers Opposant,Fouls Opposant,Equipe,Championnat,Player_1_name,Player_2_name,Player_3_name,Player_4_name,Player_5_name,Player_1_id,Player_2_id,Player_3_id,Player_4_id,Player_5_id,Secondes,Rentabilite_possessions_equipe,Rentabilite_possessions_opp,Differentiel_rentabilite_possessions,Rentabilite_temps_equipe,Rentabilite_temps_opp,Differentiel_rentabilite_temps,True_Shooting_equipe_%,True_Shooting_opp_%,Differentiel_True_Shooting_%,Pts_Tirs_Tentes_equipe,Pts_Tirs_Tentes_opp,Differentiel_Pts_Tirs_Tentes
CS-40CCS-14RCS-8HCS-2MCS-13G,"40 Z. Cuthbertson, 14 D. Ristic, 8 J. Hill, 2 J. Morris, 13 L. Gaudoux",-22,57:52,132,125,92,49,54,33,61.1,38,16,42.1,16,11,68.8,34,8,26,34,10,17,27,136,147,99,53,54,36,66.7,45,17,37.8,28,24,85.7,47,15,32,32,10,18,21,Chalon Saone,Betclic Elite,40 Z. Cuthbertson,14 D. Ristic,8 J. Hill,2 J. Morris,13 L. Gaudoux,CS-40C,CS-14R,CS-8H,CS-2M,CS-13G,3472.0,94.6969696969697,108.08823529411764,-13.391265597147935,91.24423963133641,94.00921658986175,-2.764976958525338,63.105815831987066,66.02587136183975,-2.9200555298526822,126.21163166397413,132.0517427236795,-5.8401110597053645
CS-4SCS-40CCS-14RCS-8HCS-2M,"4 Z. Sakic, 40 Z. Cuthbertson, 14 D. Ristic, 8 J. Hill, 2 J. Morris",-2,44:33,106,82,61,26,35,16,45.7,26,10,38.5,27,20,74.1,34,6,28,19,5,13,19,105,84,74,32,41,20,48.8,33,12,36.4,11,8,72.7,38,13,25,23,7,14,26,Chalon Saone,Betclic Elite,4 Z. Sakic,40 Z. Cuthbertson,14 D. Ristic,8 J. Hill,2 J. Morris,CS-4S,CS-40C,CS-14R,CS-8H,CS-2M,2673.0,77.35849056603774,80.0,-2.6415094339622556,95.17396184062851,94.27609427609428,0.8978675645342236,56.25686059275522,53.272450532724505,2.9844100600307115,112.51372118551043,106.54490106544901,5.968820120061423
CS-4SCS-40CCS-21SCS-8HCS-13G,"4 Z. Sakic, 40 Z. Cuthbertson, 21 M. Stockton, 8 J. Hill, 13 L. Gaudoux",19,28:59,71,69,38,23,21,15,71.4,17,8,47.1,22,15,68.2,21,4,17,18,5,9,11,60,50,40,20,18,12,66.7,22,8,36.4,2,2,100.0,12,1,11,12,7,10,21,Chalon Saone,Betclic Elite,4 Z. Sakic,40 Z. Cuthbertson,21 M. Stockton,8 J. Hill,13 L. Gaudoux,CS-4S,CS-40C,CS-21S,CS-8H,CS-13G,1739.0,97.1830985915493,83.33333333333334,13.849765258215953,97.98734905117884,82.80621046578493,15.18113858539391,72.35738255033557,61.1545988258317,11.202783724503874,144.71476510067114,122.3091976516634,22.405567449007748
CS-4SCS-40CCS-14RCS-8HCS-6C,"4 Z. Sakic, 40 Z. Cuthbertson, 14 D. Ristic, 8 J. Hill, 6 Y. Choupas",4,23:31,55,48,39,19,25,16,64.0,14,3,21.4,12,7,58.3,17,3,14,12,3,4,9,53,44,36,15,17,9,52.9,19,6,31.6,9,8,88.9,18,6,12,12,1,3,12,Chalon Saone,Betclic Elite,4 Z. Sakic,40 Z. Cuthbertson,14 D. Ristic,8 J. Hill,6 Y. Choupas,CS-4S,CS-40C,CS-14R,CS-8H,CS-6C,1411.0,87.27272727272727,83.01886792452831,4.253859348198958,93.55067328136073,90.14883061658398,3.4018426647767512,54.20054200542005,55.05505505505506,-0.8545130496350097,108.4010840108401,110.11011011011011,-1.7090260992700195
CS-40CCS-14RCS-20NCS-2MCS-13G,"40 Z. Cuthbertson, 14 D. Ristic, 20 N. Nenadic, 2 J. Morris, 13 L. Gaudoux",-7,18:56,43,41,28,14,21,11,52.4,7,3,42.9,15,10,66.7,16,7,9,10,2,6,10,39,48,32,19,17,12,70.6,15,7,46.7,4,3,75.0,9,3,6,12,1,3,14,Chalon Saone,Betclic Elite,40 Z. Cuthbertson,14 D. Ristic,20 N. Nenadic,2 J. Morris,13 L. Gaudoux,CS-40C,CS-14R,CS-20N,CS-2M,CS-13G,1136.0,95.34883720930233,123.07692307692308,-27.72808586762075,90.8450704225352,82.3943661971831,8.450704225352098,59.2485549132948,71.09004739336493,-11.84149248007013,118.4971098265896,142.18009478672985,-23.68298496014026
CS-40CCS-14RCS-8HCS-6CCS-13G,"40 Z. Cuthbertson, 14 D. Ristic, 8 J. Hill, 6 Y. Choupas, 13 L. Gaudoux",8,14:32,34,33,23,14,18,11,61.1,5,3,60.0,3,2,66.7,10,4,6,10,4,6,8,36,25,21,9,8,4,50.0,13,5,38.5,2,2,100.0,8,3,5,5,2,7,7,Chalon Saone,Betclic Elite,40 Z. Cuthbertson,14 D. Ristic,8 J. Hill,6 Y. Choupas,13 L. Gaudoux,CS-40C,CS-14R,CS-8H,CS-6C,CS-13G,872.0,97.05882352941177,69.44444444444444,27.614379084967325,93.57798165137615,99.08256880733946,-5.504587155963307,67.8453947368421,57.12979890310786,10.715595833734234,135.6907894736842,114.25959780621572,21.431191667468468
CS-40CCS-14RCS-20NCS-6CCS-13G,"40 Z. Cuthbertson, 14 D. Ristic, 20 N. Nenadic, 6 Y. Choupas, 13 L. Gaudoux",3,13:35,31,33,15,10,8,5,62.5,7,5,71.4,11,8,72.7,8,1,7,7,2,6,7,33,30,21,11,11,8,72.7,10,3,30.0,8,5,62.5,7,3,4,6,6,2,9,Chalon Saone,Betclic Elite,40 Z. Cuthbertson,14 D. Ristic,20 N. Nenadic,6 Y. Choupas,13 L. Gaudoux,CS-40C,CS-14R,CS-20N,CS-6C,CS-13G,815.0,106.4516129032258,90.9090909090909,15.542521994134887,91.28834355828221,97.17791411042946,-5.889570552147248,83.16532258064517,61.174551386623165,21.990771194022003,166.33064516129033,122.34910277324633,43.981542388044005
CS-14RCS-20NCS-8HCS-2MCS-13G,"14 D. Ristic, 20 N. Nenadic, 8 J. Hill, 2 J. Morris, 13 L. Gaudoux",3,12:39,27,30,23,11,12,7,58.3,11,4,36.4,5,4,80.0,6,3,3,6,3,2,7,28,27,17,9,9,5,55.6,8,4,50.0,5,5,100.0,8,2,6,7,1,6,6,Chalon Saone,Betclic Elite,14 D. Ristic,20 N. Nenadic,8 J. Hill,2 J. Morris,13 L. Gaudoux,CS-14R,CS-20N,CS-8H,CS-2M,CS-13G,759.0,111.11111111111111,96.42857142857143,14.682539682539684,85.37549407114625,88.53754940711462,-3.1620553359683754,59.523809523809526,70.3125,-10.788690476190474,119.04761904761905,140.625,-21.57738095238095
CS-40CCS-20NCS-6CCS-7CCS-13G,"40 Z. Cuthbertson, 20 N. Nenadic, 6 Y. Choupas, 7 O. Cortale, 13 L. Gaudoux",-6,12:02,26,15,12,5,8,3,37.5,4,2,50.0,4,3,75.0,11,1,10,4,0,9,7,29,21,21,6,12,3,25.0,9,3,33.3,7,6,85.7,9,3,6,6,4,1,5,Chalon Saone,Betclic Elite,40 Z. Cuthbertson,20 N. Nenadic,6 Y. Choupas,7 O. Cortale,13 L. Gaudoux,CS-40C,CS-20N,CS-6C,CS-7C,CS-13G,722.0,57.692307692307686,72.41379310344827,-14.721485411140584,86.42659279778394,96.398891966759,-9.972299168975056,54.50581395348837,43.6046511627907,10.901162790697668,109.01162790697674,87.2093023255814,21.802325581395337
CS-14RCS-8HCS-2MCS-6CCS-13G,"14 D. Ristic, 8 J. Hill, 2 J. Morris, 6 Y. Choupas, 13 L. Gaudoux",14,11:21,30,33,19,10,9,5,55.6,10,5,50.0,9,8,88.9,8,3,5,8,1,4,6,27,19,16,6,9,4,44.4,7,2,28.6,6,5,83.3,10,4,6,3,2,5,8,Chalon Saone,Betclic Elite,14 D. Ristic,8 J. Hill,2 J. Morris,6 Y. Choupas,13 L. Gaudoux,CS-14R,CS-8H,CS-2M,CS-6C,CS-13G,681.0,110.00000000000001,70.37037037037037,39.62962962962965,105.72687224669605,95.15418502202644,10.572687224669608,71.86411149825783,50.96566523605151,20.89844626220632,143.72822299651565,101.93133047210301,41.79689252441264
