Lineup,Plus/Minus,Minutes,Possessions Equipe,Points Equipe,Field goals attempted Equipe,Field goals made Equipe,2-pt field goals attempted Equipe,2-pt field goals made Equipe,"2-pt field goals, % Equipe",3-pt field goals attempted Equipe,3-pt field goals made Equipe,"3-pt field goals, % Equipe",Free throws attempted Equipe,Free throws made Equipe,"Free throws, % Equipe",Rebounds Equipe,Offensive rebounds Equipe,Defensive rebounds Equipe,Assists Equipe,Steals Equipe,Turnovers Equipe,Fouls Equipe,Possessions Opposant,Points Opposant,Field goals attempted Opposant,Field goals made Opposant,2-pt field goals attempted Opposant,2-pt field goals made Opposant,"2-pt field goals, % Opposant",3-pt field goals attempted Opposant,3-pt field goals made Opposant,"3-pt field goals, % Opposant",Free throws attempted Opposant,Free throws made Opposant,"Free throws, % Opposant",Rebounds Opposant,Offensive rebounds Opposant,Defensive rebounds Opposant,Assists Opposant,Steals Opposant,Turnovers Opposant,Fouls Opposant,Equipe,Championnat,Player_1_name,Player_2_name,Player_3_name,Player_4_name,Player_5_name,Player_1_id,Player_2_id,Player_3_id,Player_4_id,Player_5_id,Secondes,id_lineups,Rentabilite_possessions_equipe,Rentabilite_possessions_opp,Differentiel_rentabilite_possessions,Rentabilite_temps_equipe,Rentabilite_temps_opp,Differentiel_rentabilite_temps,True_Shooting_equipe_%,True_Shooting_opp_%,Differentiel_True_Shooting_%,Pts_Tirs_Tentes_equipe,Pts_Tirs_Tentes_opp,Differentiel_Pts_Tirs_Tentes
"5 G. Watson Jr, 13 T. Agee, 97 V. Chery, 3 H. Cattoor, 19 C. Babb",19,50:54,114,110,86,40,48,26,54.2,38,14,36.8,18,16,88.9,39,10,29,25,7,7,22,116,91,79,36,44,25,56.8,35,11,31.4,11,8,72.7,40,10,30,18,4,15,25,BCM Gravelines-Dunkerque,Betclic Elite,5 G. Watson Jr,13 T. Agee,97 V. Chery,3 H. Cattoor,19 C. Babb,BG-5J,BG-13A,BG-97C,BG-3C,BG-19B,3054.0,BG-5JBG-13ABG-97CBG-3CBG-19B,96.49122807017544,78.44827586206897,18.04295220810647,89.58742632612967,91.15913555992142,-1.5717092337917506,58.56047700170358,54.27003816793893,4.290438833764654,117.12095400340716,108.54007633587786,8.580877667529307
"5 G. Watson Jr, 9 G. Bezhanishvili, 13 T. Agee, 12 V. Fofana, 19 C. Babb",6,29:36,72,59,46,20,28,13,46.4,18,7,38.9,12,12,100.0,21,3,18,12,6,11,13,73,53,50,18,26,9,34.6,24,9,37.5,14,8,57.1,28,10,18,16,5,10,18,BCM Gravelines-Dunkerque,Betclic Elite,5 G. Watson Jr,9 G. Bezhanishvili,13 T. Agee,12 V. Fofana,19 C. Babb,BG-5J,BG-9B,BG-13A,BG-12F,BG-19B,1776.0,BG-5JBG-9BBG-13ABG-12FBG-19B,81.94444444444444,72.6027397260274,9.341704718417049,97.2972972972973,98.64864864864866,-1.3513513513513544,57.52730109204368,47.186609686609685,10.340691405433994,115.05460218408736,94.37321937321937,20.681382810867987
"5 G. Watson Jr, 9 G. Bezhanishvili, 12 V. Fofana, 45 T. Cornely, 77 R. Domon",-19,23:27,52,31,34,13,28,12,42.9,6,1,16.7,9,4,44.4,14,5,9,4,4,9,15,52,50,32,19,23,15,65.2,9,4,44.4,11,8,72.7,17,3,14,8,5,7,9,BCM Gravelines-Dunkerque,Betclic Elite,5 G. Watson Jr,9 G. Bezhanishvili,12 V. Fofana,45 T. Cornely,77 R. Domon,BG-5J,BG-9B,BG-12F,BG-45C,BG-77D,1407.0,BG-5JBG-9BBG-12FBG-45CBG-77D,59.61538461538461,96.15384615384616,-36.53846153846155,88.69936034115139,88.69936034115139,0.0,40.83245521601686,67.86102062975027,-27.02856541373341,81.66491043203372,135.72204125950054,-54.05713082746682
"5 G. Watson Jr, 9 G. Bezhanishvili, 13 T. Agee, 12 V. Fofana, 45 T. Cornely",10,17:35,34,39,26,15,17,12,70.6,9,3,33.3,7,6,85.7,11,1,10,10,3,3,5,33,29,19,11,10,6,60.0,9,5,55.6,3,2,66.7,10,0,10,6,1,6,6,BCM Gravelines-Dunkerque,Betclic Elite,5 G. Watson Jr,9 G. Bezhanishvili,13 T. Agee,12 V. Fofana,45 T. Cornely,BG-5J,BG-9B,BG-13A,BG-12F,BG-45C,1055.0,BG-5JBG-9BBG-13ABG-12FBG-45C,114.70588235294117,87.87878787878788,26.8270944741533,77.34597156398104,75.07109004739335,2.2748815165876834,67.0563961485557,71.35826771653542,-4.301871567979717,134.1127922971114,142.71653543307085,-8.603743135959434
"1 R. Langford, 5 G. Watson Jr, 13 T. Agee, 97 V. Chery, 19 C. Babb",-12,16:47,45,26,28,11,15,9,60.0,13,2,15.4,4,2,50.0,15,4,11,4,4,4,6,37,38,26,13,13,7,53.8,13,6,46.2,6,6,100.0,13,2,11,10,2,5,9,BCM Gravelines-Dunkerque,Betclic Elite,1 R. Langford,5 G. Watson Jr,13 T. Agee,97 V. Chery,19 C. Babb,BG-1L,BG-5J,BG-13A,BG-97C,BG-19B,1007.0,BG-1LBG-5JBG-13ABG-97CBG-19B,57.77777777777777,102.7027027027027,-44.92492492492492,107.24925521350546,88.18272095332672,19.06653426017874,43.68279569892473,66.34078212290503,-22.657986423980297,87.36559139784946,132.68156424581005,-45.315972847960595
"5 G. Watson Jr, 9 G. Bezhanishvili, 13 T. Agee, 3 H. Cattoor, 19 C. Babb",14,15:39,40,37,27,13,12,6,50.0,15,7,46.7,5,4,80.0,18,4,14,7,0,5,7,38,23,30,9,12,5,41.7,18,4,22.2,2,1,50.0,12,4,8,8,0,2,9,BCM Gravelines-Dunkerque,Betclic Elite,5 G. Watson Jr,9 G. Bezhanishvili,13 T. Agee,3 H. Cattoor,19 C. Babb,BG-5J,BG-9B,BG-13A,BG-3C,BG-19B,939.0,BG-5JBG-9BBG-13ABG-3CBG-19B,92.5,60.526315789473685,31.973684210526315,102.23642172523962,97.12460063897764,5.111821086261983,63.35616438356164,37.240932642487046,26.115231741074595,126.71232876712328,74.48186528497409,52.23046348214919
"5 G. Watson Jr, 9 G. Bezhanishvili, 12 V. Fofana, 45 T. Cornely, 19 C. Babb",7,14:50,32,37,22,13,12,8,66.7,10,5,50.0,6,6,100.0,7,2,5,8,3,2,6,32,30,21,11,12,7,58.3,9,4,44.4,7,4,57.1,11,4,7,5,0,4,6,BCM Gravelines-Dunkerque,Betclic Elite,5 G. Watson Jr,9 G. Bezhanishvili,12 V. Fofana,45 T. Cornely,19 C. Babb,BG-5J,BG-9B,BG-12F,BG-45C,BG-19B,890.0,BG-5JBG-9BBG-12FBG-45CBG-19B,115.625,93.75,21.875,86.29213483146069,86.29213483146069,0.0,75.08116883116884,62.292358803986716,12.788810027182123,150.16233766233768,124.58471760797343,25.577620054364246
"5 G. Watson Jr, 13 T. Agee, 97 V. Chery, 19 C. Babb, 10 E. Boisdur",5,13:15,30,26,18,7,10,4,40.0,8,3,37.5,16,9,56.3,11,3,8,4,0,2,8,30,21,20,7,11,4,36.4,9,3,33.3,4,4,100.0,13,2,11,4,0,3,11,BCM Gravelines-Dunkerque,Betclic Elite,5 G. Watson Jr,13 T. Agee,97 V. Chery,19 C. Babb,10 E. Boisdur,BG-5J,BG-13A,BG-97C,BG-19B,BG-10B,795.0,BG-5JBG-13ABG-97CBG-19BBG-10B,86.66666666666667,70.0,16.66666666666667,90.56603773584905,90.56603773584905,0.0,51.91693290734825,48.25367647058823,3.6632564367600153,103.8338658146965,96.50735294117646,7.326512873520031
"5 G. Watson Jr, 13 T. Agee, 12 V. Fofana, 97 V. Chery, 77 R. Domon",-4,13:07,32,17,22,7,18,6,33.3,4,1,25.0,4,2,50.0,11,5,6,2,0,4,4,31,21,20,7,13,4,30.8,7,3,42.9,5,4,80.0,16,5,11,4,3,5,9,BCM Gravelines-Dunkerque,Betclic Elite,5 G. Watson Jr,13 T. Agee,12 V. Fofana,97 V. Chery,77 R. Domon,BG-5J,BG-13A,BG-12F,BG-97C,BG-77D,787.0,BG-5JBG-13ABG-12FBG-97CBG-77D,53.125,67.74193548387096,-14.61693548387096,97.58576874205845,94.53621346886912,3.049555273189327,35.77441077441077,47.2972972972973,-11.52288652288653,71.54882154882154,94.5945945945946,-23.04577304577306
"5 G. Watson Jr, 12 V. Fofana, 97 V. Chery, 45 T. Cornely, 19 C. Babb",5,12:36,29,35,18,12,8,6,75.0,10,6,60.0,8,5,62.5,3,1,2,11,4,3,9,34,30,15,7,10,5,50.0,5,2,40.0,16,14,87.5,11,4,7,3,4,7,7,BCM Gravelines-Dunkerque,Betclic Elite,5 G. Watson Jr,12 V. Fofana,97 V. Chery,45 T. Cornely,19 C. Babb,BG-5J,BG-12F,BG-97C,BG-45C,BG-19B,756.0,BG-5JBG-12FBG-97CBG-45CBG-19B,120.6896551724138,88.23529411764706,32.454361054766736,92.06349206349206,107.93650793650794,-15.873015873015873,81.31970260223048,68.05807622504537,13.26162637718511,162.63940520446096,136.11615245009074,26.52325275437022
"5 G. Watson Jr, 13 T. Agee, 97 V. Chery, 45 T. Cornely, 19 C. Babb",1,12:19,28,32,18,11,14,9,64.3,4,2,50.0,10,8,80.0,8,0,8,1,2,4,7,34,31,23,11,13,7,53.8,10,4,40.0,5,5,100.0,10,3,7,7,3,3,9,BCM Gravelines-Dunkerque,Betclic Elite,5 G. Watson Jr,13 T. Agee,97 V. Chery,45 T. Cornely,19 C. Babb,BG-5J,BG-13A,BG-97C,BG-45C,BG-19B,739.0,BG-5JBG-13ABG-97CBG-45CBG-19B,114.28571428571428,91.17647058823529,23.109243697478988,90.93369418132612,110.41948579161028,-19.485791610284167,71.42857142857143,61.50793650793651,9.920634920634917,142.85714285714286,123.01587301587303,19.841269841269835
