id_lineups,Lineup,Plus/Minus,Minutes,Possessions Equipe,Points Equipe,Field goals attempted Equipe,Field goals made Equipe,2-pt field goals attempted Equipe,2-pt field goals made Equipe,"2-pt field goals, % Equipe",3-pt field goals attempted Equipe,3-pt field goals made Equipe,"3-pt field goals, % Equipe",Free throws attempted Equipe,Free throws made Equipe,"Free throws, % Equipe",Rebounds Equipe,Offensive rebounds Equipe,Defensive rebounds Equipe,Assists Equipe,Steals Equipe,Turnovers Equipe,Fouls Equipe,Possessions Opposant,Points Opposant,Field goals attempted Opposant,Field goals made Opposant,2-pt field goals attempted Opposant,2-pt field goals made Opposant,"2-pt field goals, % Opposant",3-pt field goals attempted Opposant,3-pt field goals made Opposant,"3-pt field goals, % Opposant",Free throws attempted Opposant,Free throws made Opposant,"Free throws, % Opposant",Rebounds Opposant,Offensive rebounds Opposant,Defensive rebounds Opposant,Assists Opposant,Steals Opposant,Turnovers Opposant,Fouls Opposant,Equipe,Championnat,Player_1_name,Player_2_name,Player_3_name,Player_4_name,Player_5_name,Player_1_id,Player_2_id,Player_3_id,Player_4_id,Player_5_id,Secondes,Rentabilite_possessions_equipe,Rentabilite_possessions_opp,Differentiel_rentabilite_possessions,Rentabilite_temps_equipe,Rentabilite_temps_opp,Differentiel_rentabilite_temps,True_Shooting_equipe_%,True_Shooting_opp_%,Differentiel_True_Shooting_%,Pts_Tirs_Tentes_equipe,Pts_Tirs_Tentes_opp,Differentiel_Pts_Tirs_Tentes
CL-11CCL-15LCL-5BCL-2BCL-39B,"11 A. Chassang, 15 N. Lang, 5 T. Bluiett, 2 L. Beaufort, 39 K. Baptiste",-11,77:58,181,157,117,60,63,35,55.6,54,25,46.3,21,12,57.1,56,12,44,50,10,26,39,186,168,122,59,75,43,57.3,47,16,34.0,49,34,69.4,59,15,44,40,13,19,30,CSP Limoges,Betclic Elite,11 A. Chassang,15 N. Lang,5 T. Bluiett,2 L. Beaufort,39 K. Baptiste,CL-11C,CL-15L,CL-5B,CL-2B,CL-39B,4678.0,86.74033149171271,90.32258064516128,-3.582249153448572,92.86019666524156,95.42539546814878,-2.5651988029072186,62.18314321926489,58.512120367790466,3.671022851474426,124.36628643852978,117.02424073558093,7.342045702948852
CL-11CCL-15LCL-39BCL-17ACL-32G,"11 A. Chassang, 15 N. Lang, 39 K. Baptiste, 17 V. Amsellem, 32 M. Guisse",-18,29:17,65,49,43,19,23,11,47.8,20,8,40.0,7,3,42.9,21,5,16,11,2,11,8,66,67,50,28,31,22,71.0,19,6,31.6,6,5,83.3,24,5,19,15,8,6,11,CSP Limoges,Betclic Elite,11 A. Chassang,15 N. Lang,39 K. Baptiste,17 V. Amsellem,32 M. Guisse,CL-11C,CL-15L,CL-39B,CL-17A,CL-32G,1757.0,75.38461538461539,101.51515151515152,-26.13053613053613,88.7877063175868,90.15367103016504,-1.365964712578247,53.16840277777778,63.639817629179326,-10.471414851401548,106.33680555555556,127.27963525835865,-20.942829702803095
CL-15LCL-5BCL-10OCL-2BCL-93D,"15 N. Lang, 5 T. Bluiett, 10 M. Osborne, 2 L. Beaufort, 93 M. Diarra",-1,26:50,62,44,36,14,25,10,40.0,11,4,36.4,14,12,85.7,20,6,14,11,5,7,12,63,45,45,17,26,11,42.3,19,6,31.6,9,5,55.6,22,9,13,15,4,9,13,CSP Limoges,Betclic Elite,15 N. Lang,5 T. Bluiett,10 M. Osborne,2 L. Beaufort,93 M. Diarra,CL-15L,CL-5B,CL-10O,CL-2B,CL-93D,1610.0,70.96774193548387,71.42857142857143,-0.4608294930875587,92.4223602484472,93.91304347826087,-1.4906832298136692,52.18216318785579,45.955882352941174,6.226280834914618,104.36432637571158,91.91176470588235,12.452561669829237
CL-11CCL-15LCL-5BCL-39BCL-17A,"11 A. Chassang, 15 N. Lang, 5 T. Bluiett, 39 K. Baptiste, 17 V. Amsellem",19,26:08,63,63,43,23,26,16,61.5,17,7,41.2,16,10,62.5,20,5,15,17,4,7,12,61,44,41,18,23,12,52.2,18,6,33.3,5,2,40.0,20,6,14,13,3,9,11,CSP Limoges,Betclic Elite,11 A. Chassang,15 N. Lang,5 T. Bluiett,39 K. Baptiste,17 V. Amsellem,CL-11C,CL-15L,CL-5B,CL-39B,CL-17A,1568.0,100.0,72.1311475409836,27.868852459016395,96.42857142857143,93.36734693877551,3.0612244897959187,62.94964028776978,50.92592592592592,12.023714361843865,125.89928057553956,101.85185185185183,24.04742872368773
CL-11CCL-15LCL-2BCL-0BCL-39B,"11 A. Chassang, 15 N. Lang, 2 L. Beaufort, 0 S. Boum, 39 K. Baptiste",-5,18:51,44,31,32,13,22,10,45.5,10,3,30.0,2,2,100.0,13,4,9,8,3,4,6,38,36,24,12,12,7,58.3,12,5,41.7,8,7,87.5,14,0,14,9,1,8,6,CSP Limoges,Betclic Elite,11 A. Chassang,15 N. Lang,2 L. Beaufort,0 S. Boum,39 K. Baptiste,CL-11C,CL-15L,CL-2B,CL-0B,CL-39B,1131.0,70.45454545454545,94.73684210526315,-24.282296650717697,93.368700265252,80.6366047745358,12.732095490716205,47.14111922141119,65.40697674418605,-18.265857522774866,94.28223844282238,130.8139534883721,-36.53171504554973
CL-15LCL-5BCL-2BCL-39BCL-93D,"15 N. Lang, 5 T. Bluiett, 2 L. Beaufort, 39 K. Baptiste, 93 M. Diarra",8,17:38,42,46,31,17,19,10,52.6,12,7,58.3,11,5,45.5,16,5,11,11,4,4,10,45,38,28,12,14,9,64.3,14,3,21.4,14,11,78.6,12,4,8,9,1,7,7,CSP Limoges,Betclic Elite,15 N. Lang,5 T. Bluiett,2 L. Beaufort,39 K. Baptiste,93 M. Diarra,CL-15L,CL-5B,CL-2B,CL-39B,CL-93D,1058.0,109.52380952380953,84.44444444444444,25.07936507936509,95.27410207939508,102.07939508506615,-6.805293005671075,64.17410714285714,55.62060889929743,8.553498243559709,128.34821428571428,111.24121779859486,17.106996487119417
CL-0TCL-11CCL-15LCL-5BCL-39B,"0 T. Terry, 11 A. Chassang, 15 N. Lang, 5 T. Bluiett, 39 K. Baptiste",-3,16:46,41,34,24,10,15,4,26.7,9,6,66.7,11,8,72.7,12,4,8,9,3,8,5,32,37,23,14,17,12,70.6,6,2,33.3,7,7,100.0,10,1,9,9,5,4,9,CSP Limoges,Betclic Elite,0 T. Terry,11 A. Chassang,15 N. Lang,5 T. Bluiett,39 K. Baptiste,CL-0T,CL-11C,CL-15L,CL-5B,CL-39B,1006.0,82.92682926829268,115.625,-32.69817073170732,97.8131212723658,76.34194831013916,21.471172962226646,58.945908460471564,70.93558282208589,-11.989674361614327,117.89181692094313,141.87116564417178,-23.979348723228654
CL-15LCL-5BCL-39BCL-17ACL-93D,"15 N. Lang, 5 T. Bluiett, 39 K. Baptiste, 17 V. Amsellem, 93 M. Diarra",3,15:45,39,30,25,12,13,7,53.8,12,5,41.7,5,1,20.0,17,4,13,11,2,4,10,39,27,26,11,11,8,72.7,15,3,20.0,4,2,50.0,15,4,11,8,1,3,9,CSP Limoges,Betclic Elite,15 N. Lang,5 T. Bluiett,39 K. Baptiste,17 V. Amsellem,93 M. Diarra,CL-15L,CL-5B,CL-39B,CL-17A,CL-93D,945.0,76.92307692307693,69.23076923076923,7.692307692307708,99.04761904761905,99.04761904761905,0.0,55.14705882352941,48.63112391930836,6.515934904221055,110.29411764705883,97.26224783861672,13.03186980844211
CL-11CCL-15LCL-5BCL-0BCL-39B,"11 A. Chassang, 15 N. Lang, 5 T. Bluiett, 0 S. Boum, 39 K. Baptiste",4,15:10,34,26,20,8,4,2,50.0,16,6,37.5,7,4,57.1,17,3,14,6,3,6,5,35,22,24,8,9,5,55.6,15,3,20.0,3,3,100.0,9,1,8,8,4,4,7,CSP Limoges,Betclic Elite,11 A. Chassang,15 N. Lang,5 T. Bluiett,0 S. Boum,39 K. Baptiste,CL-11C,CL-15L,CL-5B,CL-0B,CL-39B,910.0,76.47058823529412,62.857142857142854,13.613445378151262,89.67032967032966,92.3076923076923,-2.637362637362642,56.32582322357019,43.44391785150079,12.881905372069397,112.65164644714038,86.88783570300158,25.763810744138794
CL-5BCL-10OCL-17ACL-32GCL-93D,"5 T. Bluiett, 10 M. Osborne, 17 V. Amsellem, 32 M. Guisse, 93 M. Diarra",-2,13:53,34,22,20,6,12,4,33.3,8,2,25.0,10,8,80.0,13,2,11,6,1,2,9,36,24,18,6,12,4,33.3,6,2,33.3,12,10,83.3,11,0,11,4,1,6,11,CSP Limoges,Betclic Elite,5 T. Bluiett,10 M. Osborne,17 V. Amsellem,32 M. Guisse,93 M. Diarra,CL-5B,CL-10O,CL-17A,CL-32G,CL-93D,833.0,64.70588235294117,66.66666666666666,-1.9607843137254832,97.95918367346938,103.72148859543819,-5.762304921968806,45.08196721311475,51.546391752577314,-6.464424539462563,90.1639344262295,103.09278350515463,-12.928849078925126
