id_lineups,Lineup,Plus/Minus,Minutes,Possessions Equipe,Points Equipe,Field goals attempted Equipe,Field goals made Equipe,2-pt field goals attempted Equipe,2-pt field goals made Equipe,"2-pt field goals, % Equipe",3-pt field goals attempted Equipe,3-pt field goals made Equipe,"3-pt field goals, % Equipe",Free throws attempted Equipe,Free throws made Equipe,"Free throws, % Equipe",Rebounds Equipe,Offensive rebounds Equipe,Defensive rebounds Equipe,Assists Equipe,Steals Equipe,Turnovers Equipe,Fouls Equipe,Possessions Opposant,Points Opposant,Field goals attempted Opposant,Field goals made Opposant,2-pt field goals attempted Opposant,2-pt field goals made Opposant,"2-pt field goals, % Opposant",3-pt field goals attempted Opposant,3-pt field goals made Opposant,"3-pt field goals, % Opposant",Free throws attempted Opposant,Free throws made Opposant,"Free throws, % Opposant",Rebounds Opposant,Offensive rebounds Opposant,Defensive rebounds Opposant,Assists Opposant,Steals Opposant,Turnovers Opposant,Fouls Opposant,Equipe,Championnat,Player_1_name,Player_2_name,Player_3_name,Player_4_name,Player_5_name,Player_1_id,Player_2_id,Player_3_id,Player_4_id,Player_5_id,Secondes,Rentabilite_possessions_equipe,Rentabilite_possessions_opp,Differentiel_rentabilite_possessions,Rentabilite_temps_equipe,Rentabilite_temps_opp,Differentiel_rentabilite_temps,True_Shooting_equipe_%,True_Shooting_opp_%,Differentiel_True_Shooting_%,Pts_Tirs_Tentes_equipe,Pts_Tirs_Tentes_opp,Differentiel_Pts_Tirs_Tentes
N9-7CN9-17PN9-23RN9-6LN9-8S,"7 A. Caver, 17 R. Prkacin, 23 D. Rodriguez, 6 P. Lacombe, 8 B. Sene",29,45:41,106,111,77,46,53,34,64.2,24,12,50.0,7,7,100.0,29,7,22,31,21,20,27,120,82,55,30,32,21,65.6,23,9,39.1,16,13,81.3,24,2,22,18,14,30,13,Nanterre 92,Betclic Elite,7 A. Caver,17 R. Prkacin,23 D. Rodriguez,6 P. Lacombe,8 B. Sene,N9-7C,N9-17P,N9-23R,N9-6L,N9-8S,2741.0,104.71698113207549,68.33333333333333,36.38364779874216,92.81284202845676,105.07114191900766,-12.258299890550902,69.30569430569432,66.08639587362993,3.2192984320643916,138.61138861138863,132.17279174725985,6.438596864128783
N9-1TN9-6LN9-22DN9-8SN9-10B,"1 J. Tillman, 6 P. Lacombe, 22 L. Dussoulier, 8 B. Sene, 10 M. Barbitch",20,21:43,47,65,40,25,24,15,62.5,16,10,62.5,5,5,100.0,18,3,15,20,1,3,10,44,45,29,14,14,9,64.3,15,5,33.3,16,12,75.0,12,1,11,9,2,3,5,Nanterre 92,Betclic Elite,1 J. Tillman,6 P. Lacombe,22 L. Dussoulier,8 B. Sene,10 M. Barbitch,N9-1T,N9-6L,N9-22D,N9-8S,N9-10B,1303.0,138.29787234042556,102.27272727272727,36.02514506769829,86.56945510360707,81.04374520337683,5.52570990023024,77.01421800947867,62.430632630410656,14.583585379068012,154.02843601895734,124.86126526082131,29.167170758136024
N9-7CN9-23RN9-6LN9-22DN9-8S,"7 A. Caver, 23 D. Rodriguez, 6 P. Lacombe, 22 L. Dussoulier, 8 B. Sene",4,15:19,39,31,29,12,19,12,63.2,10,0,0.0,7,7,100.0,16,6,10,6,4,4,5,34,27,20,10,13,7,53.8,7,3,42.9,4,4,100.0,10,1,9,5,3,9,8,Nanterre 92,Betclic Elite,7 A. Caver,23 D. Rodriguez,6 P. Lacombe,22 L. Dussoulier,8 B. Sene,N9-7C,N9-23R,N9-6L,N9-22D,N9-8S,919.0,79.48717948717949,79.41176470588235,0.07541478129714108,101.84983677910772,88.79216539717083,13.057671381936885,48.31670822942644,62.04044117647059,-13.723732947044148,96.63341645885288,124.08088235294117,-27.447465894088296
N9-7CN9-1TN9-23RN9-8SN9-13J,"7 A. Caver, 1 J. Tillman, 23 D. Rodriguez, 8 B. Sene, 13 F. Jackson",-15,14:22,33,25,23,10,16,7,43.8,7,3,42.9,3,2,66.7,7,3,4,4,0,4,5,30,40,20,15,11,9,81.8,9,6,66.7,4,4,100.0,10,1,9,13,1,6,8,Nanterre 92,Betclic Elite,7 A. Caver,1 J. Tillman,23 D. Rodriguez,8 B. Sene,13 F. Jackson,N9-7C,N9-1T,N9-23R,N9-8S,N9-13J,862.0,75.75757575757575,133.33333333333331,-57.575757575757564,91.87935034802784,83.52668213457076,8.352668213457079,51.398026315789465,91.91176470588235,-40.51373839009288,102.79605263157893,183.8235294117647,-81.02747678018576
N9-7CN9-23RN9-6LN9-22DN9-13J,"7 A. Caver, 23 D. Rodriguez, 6 P. Lacombe, 22 L. Dussoulier, 13 F. Jackson",-6,14:10,34,22,16,5,10,3,30.0,6,2,33.3,13,10,76.9,9,2,7,3,3,4,10,29,28,17,7,6,3,50.0,11,4,36.4,12,10,83.3,11,2,9,6,1,4,11,Nanterre 92,Betclic Elite,7 A. Caver,23 D. Rodriguez,6 P. Lacombe,22 L. Dussoulier,13 F. Jackson,N9-7C,N9-23R,N9-6L,N9-22D,N9-13J,850.0,64.70588235294117,96.55172413793103,-31.845841784989858,96.0,81.88235294117648,14.117647058823522,50.64456721915286,62.83662477558348,-12.192057556430619,101.28913443830572,125.67324955116696,-24.384115112861238
N9-23RN9-6LN9-22DN9-8SN9-13J,"23 D. Rodriguez, 6 P. Lacombe, 22 L. Dussoulier, 8 B. Sene, 13 F. Jackson",-12,13:01,32,22,20,7,13,5,38.5,7,2,28.6,8,6,75.0,8,3,5,4,4,3,7,36,34,20,11,11,8,72.7,9,3,33.3,9,9,100.0,14,2,12,7,1,5,7,Nanterre 92,Betclic Elite,23 D. Rodriguez,6 P. Lacombe,22 L. Dussoulier,8 B. Sene,13 F. Jackson,N9-23R,N9-6L,N9-22D,N9-8S,N9-13J,781.0,68.75,94.44444444444444,-25.694444444444443,98.33546734955185,110.62740076824585,-12.291933418694,46.7687074829932,70.95158597662771,-24.18287849363451,93.5374149659864,141.90317195325542,-48.36575698726902
N9-7CN9-1TN9-23RN9-6LN9-8S,"7 A. Caver, 1 J. Tillman, 23 D. Rodriguez, 6 P. Lacombe, 8 B. Sene",1,11:57,28,24,15,10,12,10,83.3,3,0,0.0,5,4,80.0,9,2,7,5,4,7,5,32,23,20,9,11,6,54.5,9,3,33.3,4,2,50.0,7,4,3,6,4,5,6,Nanterre 92,Betclic Elite,7 A. Caver,1 J. Tillman,23 D. Rodriguez,6 P. Lacombe,8 B. Sene,N9-7C,N9-1T,N9-23R,N9-6L,N9-8S,717.0,85.71428571428571,71.875,13.839285714285708,93.72384937238493,107.11297071129707,-13.389121338912133,69.76744186046511,52.84926470588235,16.918177154582764,139.53488372093022,105.6985294117647,33.83635430916553
N9-7CN9-23RN9-22DN9-13JN9-10B,"7 A. Caver, 23 D. Rodriguez, 22 L. Dussoulier, 13 F. Jackson, 10 M. Barbitch",17,11:51,34,43,26,16,19,14,73.7,7,2,28.6,9,9,100.0,11,3,8,7,0,3,7,29,26,18,8,13,7,53.8,5,1,20.0,10,9,90.0,8,2,6,7,1,3,11,Nanterre 92,Betclic Elite,7 A. Caver,23 D. Rodriguez,22 L. Dussoulier,13 F. Jackson,10 M. Barbitch,N9-7C,N9-23R,N9-22D,N9-13J,N9-10B,711.0,126.47058823529412,89.65517241379311,36.815415821501006,114.76793248945147,97.89029535864978,16.877637130801688,71.76234979973297,58.03571428571429,13.726635514018682,143.52469959946595,116.07142857142858,27.453271028037364
N9-7CN9-23RN9-6LN9-22DN9-10B,"7 A. Caver, 23 D. Rodriguez, 6 P. Lacombe, 22 L. Dussoulier, 10 M. Barbitch",-11,11:11,28,15,19,6,13,5,38.5,6,1,16.7,3,2,66.7,7,3,4,4,1,5,6,26,26,17,10,10,7,70.0,7,3,42.9,4,3,75.0,11,3,8,4,2,3,3,Nanterre 92,Betclic Elite,7 A. Caver,23 D. Rodriguez,6 P. Lacombe,22 L. Dussoulier,10 M. Barbitch,N9-7C,N9-23R,N9-6L,N9-22D,N9-10B,671.0,53.57142857142857,100.0,-46.42857142857143,100.14903129657229,92.99552906110283,7.15350223546946,36.90944881889764,69.2963752665245,-32.38692644762687,73.81889763779527,138.592750533049,-64.77385289525374
N9-7CN9-17PN9-6LN9-22DN9-8S,"7 A. Caver, 17 R. Prkacin, 6 P. Lacombe, 22 L. Dussoulier, 8 B. Sene",6,11:02,22,22,15,8,10,4,40.0,5,4,80.0,3,2,66.7,4,2,2,5,3,3,5,29,16,14,4,8,2,25.0,6,2,33.3,6,6,100.0,9,5,4,2,1,7,5,Nanterre 92,Betclic Elite,7 A. Caver,17 R. Prkacin,6 P. Lacombe,22 L. Dussoulier,8 B. Sene,N9-7C,N9-17P,N9-6L,N9-22D,N9-8S,662.0,100.0,55.172413793103445,44.827586206896555,79.7583081570997,105.13595166163142,-25.37764350453172,67.40196078431372,48.07692307692307,19.325037707390642,134.80392156862743,96.15384615384615,38.650075414781284
