id_lineups,Lineup,Plus/Minus,Minutes,Possessions Equipe,Points Equipe,Field goals attempted Equipe,Field goals made Equipe,2-pt field goals attempted Equipe,2-pt field goals made Equipe,"2-pt field goals, % Equipe",3-pt field goals attempted Equipe,3-pt field goals made Equipe,"3-pt field goals, % Equipe",Free throws attempted Equipe,Free throws made Equipe,"Free throws, % Equipe",Rebounds Equipe,Offensive rebounds Equipe,Defensive rebounds Equipe,Assists Equipe,Steals Equipe,Turnovers Equipe,Fouls Equipe,Possessions Opposant,Points Opposant,Field goals attempted Opposant,Field goals made Opposant,2-pt field goals attempted Opposant,2-pt field goals made Opposant,"2-pt field goals, % Opposant",3-pt field goals attempted Opposant,3-pt field goals made Opposant,"3-pt field goals, % Opposant",Free throws attempted Opposant,Free throws made Opposant,"Free throws, % Opposant",Rebounds Opposant,Offensive rebounds Opposant,Defensive rebounds Opposant,Assists Opposant,Steals Opposant,Turnovers Opposant,Fouls Opposant,Equipe,Championnat,Player_1_name,Player_2_name,Player_3_name,Player_4_name,Player_5_name,Player_1_id,Player_2_id,Player_3_id,Player_4_id,Player_5_id,Secondes,Rentabilite_possessions_equipe,Rentabilite_possessions_opp,Differentiel_rentabilite_possessions,Rentabilite_temps_equipe,Rentabilite_temps_opp,Differentiel_rentabilite_temps,True_Shooting_equipe_%,True_Shooting_opp_%,Differentiel_True_Shooting_%,Pts_Tirs_Tentes_equipe,Pts_Tirs_Tentes_opp,Differentiel_Pts_Tirs_Tentes
PB-7HPB-4CPB-18SPB-2HPB-1M,"7 S. Herrera, 4 L. Cavaliere, 18 E. Shahrvin, 2 N. Hifi, 1 C. MALCOLM",27,36:03,94,100,65,35,27,16,59.3,38,19,50.0,14,11,78.6,32,12,20,21,7,9,22,89,73,55,26,39,21,53.8,16,5,31.3,25,16,64.0,19,6,13,18,7,12,18,Paris Basketball,Betclic Elite,7 S. Herrera,4 L. Cavaliere,18 E. Shahrvin,2 N. Hifi,1 C. MALCOLM,PB-7H,PB-4C,PB-18S,PB-2H,PB-1M,2163.0,106.38297872340425,82.02247191011236,24.36050681329189,104.2995839112344,98.75173370319001,5.54785020804438,70.26419336706014,55.3030303030303,14.961163064029847,140.5283867341203,110.6060606060606,29.922326128059694
PB-24OPB-0IPB-3WPB-20JPB-13H,"24 B. Ouattara, 0 T. Shorts II, 3 T. Ward, 20 M. Jantunen, 13 K. Hayes",24,34:56,89,104,55,37,28,23,82.1,27,14,51.9,19,16,84.2,24,9,15,25,4,13,19,90,80,59,25,28,14,50.0,31,11,35.5,24,19,79.2,17,9,8,14,6,12,22,Paris Basketball,Betclic Elite,24 B. Ouattara,0 T. Shorts II,3 T. Ward,20 M. Jantunen,13 K. Hayes,PB-24O,PB-0I,PB-3W,PB-20J,PB-13H,2096.0,116.85393258426966,88.88888888888889,27.96504369538077,101.90839694656489,103.05343511450383,-1.1450381679389352,82.07070707070707,57.50431282346176,24.566394247245313,164.14141414141415,115.00862564692352,49.132788494490626
PB-7HPB-4CPB-2HPB-1MPB-5S,"7 S. Herrera, 4 L. Cavaliere, 2 N. Hifi, 1 C. MALCOLM, 5 B. Sy",2,34:48,92,78,51,23,22,13,59.1,29,10,34.5,26,22,84.6,29,8,21,14,3,14,17,90,76,61,25,38,16,42.1,23,9,39.1,19,17,89.5,25,11,14,18,8,9,22,Paris Basketball,Betclic Elite,7 S. Herrera,4 L. Cavaliere,2 N. Hifi,1 C. MALCOLM,5 B. Sy,PB-7H,PB-4C,PB-2H,PB-1M,PB-5S,2088.0,84.78260869565217,84.44444444444444,0.3381642512077292,105.7471264367816,103.44827586206897,2.298850574712631,62.45996156310058,54.786620530565166,7.673341032535411,124.91992312620116,109.57324106113033,15.346682065070823
PB-12LPB-4CPB-18SPB-2HPB-1M,"12 M. Lo, 4 L. Cavaliere, 18 E. Shahrvin, 2 N. Hifi, 1 C. MALCOLM",24,21:07,56,68,41,24,17,12,70.6,24,12,50.0,12,8,66.7,22,8,14,16,4,6,6,54,44,40,19,24,15,62.5,16,4,25.0,2,2,100.0,11,5,6,11,5,8,6,Paris Basketball,Betclic Elite,12 M. Lo,4 L. Cavaliere,18 E. Shahrvin,2 N. Hifi,1 C. MALCOLM,PB-12L,PB-4C,PB-18S,PB-2H,PB-1M,1267.0,121.42857142857142,81.48148148148148,39.947089947089935,106.07734806629834,102.28887134964484,3.7884767166535056,73.46585998271391,53.81604696673189,19.64981301598202,146.93171996542782,107.63209393346378,39.29962603196404
PB-0IPB-3WPB-20JPB-2HPB-13H,"0 T. Shorts II, 3 T. Ward, 20 M. Jantunen, 2 N. Hifi, 13 K. Hayes",20,16:19,44,52,25,17,14,10,71.4,11,7,63.6,13,11,84.6,20,5,15,8,4,8,9,40,32,26,10,14,6,42.9,12,4,33.3,9,8,88.9,5,2,3,8,3,7,11,Paris Basketball,Betclic Elite,0 T. Shorts II,3 T. Ward,20 M. Jantunen,2 N. Hifi,13 K. Hayes,PB-0I,PB-3W,PB-20J,PB-2H,PB-13H,979.0,118.18181818181819,80.0,38.18181818181819,107.86516853932584,98.05924412665986,9.805924412665973,84.63541666666667,53.40453938584779,31.23087728081888,169.27083333333334,106.80907877169558,62.46175456163776
PB-24OPB-4CPB-2HPB-1MPB-5S,"24 B. Ouattara, 4 L. Cavaliere, 2 N. Hifi, 1 C. MALCOLM, 5 B. Sy",-2,15:12,41,31,27,11,8,4,50.0,19,7,36.8,5,2,40.0,16,9,7,7,0,6,6,37,33,23,13,13,9,69.2,10,4,40.0,4,3,75.0,8,3,5,8,3,5,6,Paris Basketball,Betclic Elite,24 B. Ouattara,4 L. Cavaliere,2 N. Hifi,1 C. MALCOLM,5 B. Sy,PB-24O,PB-4C,PB-2H,PB-1M,PB-5S,912.0,75.60975609756098,89.1891891891892,-13.579433091628218,107.89473684210526,97.36842105263158,10.526315789473685,53.082191780821915,66.63974151857835,-13.557549737756432,106.16438356164383,133.2794830371567,-27.115099475512864
PB-0IPB-3WPB-20JPB-7HPB-13H,"0 T. Shorts II, 3 T. Ward, 20 M. Jantunen, 7 S. Herrera, 13 K. Hayes",-1,14:42,42,34,26,12,12,7,58.3,14,5,35.7,7,5,71.4,11,2,9,4,2,7,8,48,35,31,13,22,10,45.5,9,3,33.3,6,6,100.0,19,6,13,6,2,6,6,Paris Basketball,Betclic Elite,0 T. Shorts II,3 T. Ward,20 M. Jantunen,7 S. Herrera,13 K. Hayes,PB-0I,PB-3W,PB-20J,PB-7H,PB-13H,882.0,80.95238095238095,72.91666666666666,8.035714285714292,114.28571428571428,130.6122448979592,-16.32653061224491,58.45942228335627,52.02140309155767,6.438019191798595,116.91884456671254,104.04280618311535,12.87603838359719
PB-12LPB-3WPB-20JPB-7HPB-13H,"12 M. Lo, 3 T. Ward, 20 M. Jantunen, 7 S. Herrera, 13 K. Hayes",5,13:51,33,29,23,10,8,5,62.5,15,5,33.3,6,4,66.7,11,3,8,7,3,4,7,30,24,17,8,11,6,54.5,6,2,33.3,6,6,100.0,9,0,9,3,2,5,5,Paris Basketball,Betclic Elite,12 M. Lo,3 T. Ward,20 M. Jantunen,7 S. Herrera,13 K. Hayes,PB-12L,PB-3W,PB-20J,PB-7H,PB-13H,831.0,87.87878787878788,80.0,7.878787878787875,95.30685920577618,86.64259927797833,8.664259927797843,56.552262090483616,61.09979633401221,-4.547534243528595,113.10452418096723,122.19959266802442,-9.09506848705719
PB-12LPB-24OPB-0IPB-20JPB-13H,"12 M. Lo, 24 B. Ouattara, 0 T. Shorts II, 20 M. Jantunen, 13 K. Hayes",-14,11:46,30,21,19,8,12,6,50.0,7,2,28.6,5,3,60.0,7,4,3,3,2,6,5,32,35,21,13,12,7,58.3,9,6,66.7,4,3,75.0,8,2,6,7,4,4,7,Paris Basketball,Betclic Elite,12 M. Lo,24 B. Ouattara,0 T. Shorts II,20 M. Jantunen,13 K. Hayes,PB-12L,PB-24O,PB-0I,PB-20J,PB-13H,706.0,70.0,109.375,-39.375,101.98300283286119,108.78186968838527,-6.798866855524082,49.528301886792455,76.88927943760984,-27.36097755081739,99.05660377358491,153.7785588752197,-54.72195510163478
PB-12LPB-24OPB-3WPB-20JPB-13H,"12 M. Lo, 24 B. Ouattara, 3 T. Ward, 20 M. Jantunen, 13 K. Hayes",12,11:10,26,23,19,10,11,8,72.7,8,2,25.0,1,1,100.0,8,1,7,7,4,2,3,29,11,15,5,8,4,50.0,7,1,14.3,0,0,0.0,9,2,7,4,0,8,5,Paris Basketball,Betclic Elite,12 M. Lo,24 B. Ouattara,3 T. Ward,20 M. Jantunen,13 K. Hayes,PB-12L,PB-24O,PB-3W,PB-20J,PB-13H,670.0,88.46153846153845,37.93103448275862,50.530503978779834,93.13432835820895,103.88059701492539,-10.746268656716438,59.15637860082305,36.666666666666664,22.489711934156382,118.3127572016461,73.33333333333333,44.979423868312765
