id_lineups,Lineup,Plus/Minus,Minutes,Possessions Equipe,Points Equipe,Field goals attempted Equipe,Field goals made Equipe,2-pt field goals attempted Equipe,2-pt field goals made Equipe,"2-pt field goals, % Equipe",3-pt field goals attempted Equipe,3-pt field goals made Equipe,"3-pt field goals, % Equipe",Free throws attempted Equipe,Free throws made Equipe,"Free throws, % Equipe",Rebounds Equipe,Offensive rebounds Equipe,Defensive rebounds Equipe,Assists Equipe,Steals Equipe,Turnovers Equipe,Fouls Equipe,Possessions Opposant,Points Opposant,Field goals attempted Opposant,Field goals made Opposant,2-pt field goals attempted Opposant,2-pt field goals made Opposant,"2-pt field goals, % Opposant",3-pt field goals attempted Opposant,3-pt field goals made Opposant,"3-pt field goals, % Opposant",Free throws attempted Opposant,Free throws made Opposant,"Free throws, % Opposant",Rebounds Opposant,Offensive rebounds Opposant,Defensive rebounds Opposant,Assists Opposant,Steals Opposant,Turnovers Opposant,Fouls Opposant,Equipe,Championnat,Player_1_name,Player_2_name,Player_3_name,Player_4_name,Player_5_name,Player_1_id,Player_2_id,Player_3_id,Player_4_id,Player_5_id,Secondes,Rentabilite_possessions_equipe,Rentabilite_possessions_opp,Differentiel_rentabilite_possessions,Rentabilite_temps_equipe,Rentabilite_temps_opp,Differentiel_rentabilite_temps,True_Shooting_equipe_%,True_Shooting_opp_%,Differentiel_True_Shooting_%,Pts_Tirs_Tentes_equipe,Pts_Tirs_Tentes_opp,Differentiel_Pts_Tirs_Tentes
S-9RS-12MS-13OS-4OS-0T,"9 J. Robinson, 12 K. Moore, 13 D. Olejniczak, 4 G. Oniangue, 0 N. Traore",-23,38:52,99,66,54,21,28,12,42.9,26,9,34.6,15,15,100.0,31,9,22,12,8,21,16,84,89,61,34,34,23,67.6,27,11,40.7,12,10,83.3,26,6,20,31,10,13,17,Saint-Quentin,Betclic Elite,9 J. Robinson,12 K. Moore,13 D. Olejniczak,4 G. Oniangue,0 N. Traore,S-9R,S-12M,S-13O,S-4O,S-0T,2332.0,66.66666666666666,105.95238095238095,-39.28571428571429,101.88679245283018,86.44939965694684,15.43739279588334,54.45544554455446,67.13940856970429,-12.68396302514983,108.91089108910892,134.27881713940857,-25.36792605029966
S-9RS-12MS-13OS-4OS-10B,"9 J. Robinson, 12 K. Moore, 13 D. Olejniczak, 4 G. Oniangue, 10 L. Boucaud",14,29:45,68,57,45,22,29,17,58.6,16,5,31.3,11,8,72.7,26,8,18,14,5,9,18,69,43,37,16,25,13,52.0,12,3,25.0,10,8,80.0,17,4,13,13,5,11,12,Saint-Quentin,Betclic Elite,9 J. Robinson,12 K. Moore,13 D. Olejniczak,4 G. Oniangue,10 L. Boucaud,S-9R,S-12M,S-13O,S-4O,S-10B,1785.0,83.82352941176471,62.31884057971014,21.50468883205457,91.42857142857143,92.77310924369748,-1.3445378151260456,57.18298555377207,51.93236714975845,5.250618404013622,114.36597110754414,103.8647342995169,10.501236808027244
S-9RS-12MS-13OS-22KS-0T,"9 J. Robinson, 12 K. Moore, 13 D. Olejniczak, 22 N. Kirkwood, 0 N. Traore",6,20:17,46,53,40,23,26,18,69.2,14,5,35.7,2,2,100.0,18,4,14,10,3,3,11,48,47,32,16,18,9,50.0,14,7,50.0,11,8,72.7,14,3,11,9,2,5,4,Saint-Quentin,Betclic Elite,9 J. Robinson,12 K. Moore,13 D. Olejniczak,22 N. Kirkwood,0 N. Traore,S-9R,S-12M,S-13O,S-22K,S-0T,1217.0,115.21739130434783,97.91666666666666,17.30072463768117,90.71487263763353,94.65899753492194,-3.944124897288404,64.82387475538161,63.78935939196525,1.0345153634163609,129.64774951076322,127.5787187839305,2.0690307268327217
S-9RS-12MS-13OS-4OS-26G,"9 J. Robinson, 12 K. Moore, 13 D. Olejniczak, 4 G. Oniangue, 26 E. Goudou-Sinha",-6,19:45,49,43,32,14,19,10,52.6,13,4,30.8,11,11,100.0,15,5,10,5,2,3,8,47,49,35,19,24,13,54.2,11,6,54.5,6,5,83.3,19,7,12,14,1,4,12,Saint-Quentin,Betclic Elite,9 J. Robinson,12 K. Moore,13 D. Olejniczak,4 G. Oniangue,26 E. Goudou-Sinha,S-9R,S-12M,S-13O,S-4O,S-26G,1185.0,87.75510204081633,104.25531914893618,-16.500217108119855,99.24050632911393,95.18987341772151,4.050632911392412,58.36047774158523,65.0903294367694,-6.729851695184166,116.72095548317046,130.1806588735388,-13.459703390368333
S-13OS-4OS-26GS-0TS-5P,"13 D. Olejniczak, 4 G. Oniangue, 26 E. Goudou-Sinha, 0 N. Traore, 5 W. Pfister",5,14:14,32,31,23,11,12,6,50.0,11,5,45.5,6,4,66.7,13,5,8,6,2,3,6,35,26,21,9,9,4,44.4,12,5,41.7,5,3,60.0,9,3,6,5,3,7,9,Saint-Quentin,Betclic Elite,13 D. Olejniczak,4 G. Oniangue,26 E. Goudou-Sinha,0 N. Traore,5 W. Pfister,S-13O,S-4O,S-26G,S-0T,S-5P,854.0,96.875,74.28571428571429,22.589285714285708,89.92974238875878,98.36065573770492,-8.430913348946135,60.45241809672387,56.0344827586207,4.41793533810317,120.90483619344774,112.0689655172414,8.83587067620634
S-14SS-4OS-26GS-5PS-10B,"14 M. Santos-Silva, 4 G. Oniangue, 26 E. Goudou-Sinha, 5 W. Pfister, 10 L. Boucaud",-14,12:03,35,8,20,3,11,2,18.2,9,1,11.1,2,1,50.0,13,9,4,1,1,9,6,24,22,14,7,4,3,75.0,10,4,40.0,4,4,100.0,9,3,6,6,3,5,3,Saint-Quentin,Betclic Elite,14 M. Santos-Silva,4 G. Oniangue,26 E. Goudou-Sinha,5 W. Pfister,10 L. Boucaud,S-14S,S-4O,S-26G,S-5P,S-10B,723.0,22.857142857142858,91.66666666666666,-68.8095238095238,116.18257261410788,79.66804979253112,36.51452282157676,19.157088122605366,69.79695431472082,-50.639866192115456,38.31417624521073,139.59390862944164,-101.27973238423091
S-9RS-13OS-26GS-0TS-5P,"9 J. Robinson, 13 D. Olejniczak, 26 E. Goudou-Sinha, 0 N. Traore, 5 W. Pfister",1,11:42,33,23,22,7,14,4,28.6,8,3,37.5,6,6,100.0,11,6,5,6,3,2,3,24,22,15,7,7,3,42.9,8,4,50.0,4,4,100.0,8,2,6,6,1,5,8,Saint-Quentin,Betclic Elite,9 J. Robinson,13 D. Olejniczak,26 E. Goudou-Sinha,0 N. Traore,5 W. Pfister,S-9R,S-13O,S-26G,S-0T,S-5P,702.0,69.6969696969697,91.66666666666666,-21.969696969696955,112.82051282051282,82.05128205128206,30.76923076923076,46.67207792207792,65.63245823389022,-18.9603803118123,93.34415584415584,131.26491646778044,-37.9207606236246
S-14SS-4OS-26GS-0TS-5P,"14 M. Santos-Silva, 4 G. Oniangue, 26 E. Goudou-Sinha, 0 N. Traore, 5 W. Pfister",-6,11:07,30,18,17,6,8,3,37.5,9,3,33.3,6,3,50.0,12,5,7,5,0,5,8,27,24,16,6,11,4,36.4,5,2,40.0,12,10,83.3,10,4,6,5,2,5,6,Saint-Quentin,Betclic Elite,14 M. Santos-Silva,4 G. Oniangue,26 E. Goudou-Sinha,0 N. Traore,5 W. Pfister,S-14S,S-4O,S-26G,S-0T,S-5P,667.0,60.0,88.88888888888889,-28.888888888888886,107.94602698650675,97.15142428785606,10.794602698650692,45.824847250509166,56.390977443609025,-10.566130193099859,91.64969450101833,112.78195488721805,-21.132260386199718
S-9RS-13OS-4OS-0TS-5P,"9 J. Robinson, 13 D. Olejniczak, 4 G. Oniangue, 0 N. Traore, 5 W. Pfister",4,10:55,26,20,20,7,8,5,62.5,12,2,16.7,4,4,100.0,9,3,6,4,2,1,7,25,16,14,4,3,1,33.3,11,3,27.3,6,5,83.3,13,4,9,4,0,3,4,Saint-Quentin,Betclic Elite,9 J. Robinson,13 D. Olejniczak,4 G. Oniangue,0 N. Traore,5 W. Pfister,S-9R,S-13O,S-4O,S-0T,S-5P,655.0,76.92307692307693,64.0,12.923076923076934,95.26717557251908,91.6030534351145,3.6641221374045756,45.955882352941174,48.07692307692307,-2.121040723981899,91.91176470588235,96.15384615384615,-4.242081447963798
S-9RS-13OS-4OS-26GS-5P,"9 J. Robinson, 13 D. Olejniczak, 4 G. Oniangue, 26 E. Goudou-Sinha, 5 W. Pfister",2,10:00,30,23,20,9,12,7,58.3,8,2,25.0,3,3,100.0,9,6,3,3,3,5,8,22,21,11,7,6,5,83.3,5,2,40.0,8,5,62.5,4,0,4,5,4,4,5,Saint-Quentin,Betclic Elite,9 J. Robinson,13 D. Olejniczak,4 G. Oniangue,26 E. Goudou-Sinha,5 W. Pfister,S-9R,S-13O,S-4O,S-26G,S-5P,600.0,76.66666666666667,95.45454545454545,-18.787878787878782,120.0,88.0,32.0,53.93996247654784,72.31404958677686,-18.37408711022902,107.87992495309568,144.62809917355372,-36.74817422045804
