Jersey number,Player,Team,Games played,Minutes,Points,Points per player's possession,Field goals made,Field goals attempted,"Field goals, %",3-pt field goals made,3-pt field goals attempted,"3-pt field goals, %",Free throws made,Free throws attempted,"Free throws, %",Rebounds,Offensive rebounds,Defensive rebounds,Assists,Steals,Turnovers,Blocks,Fouls,Fouls drawn,Plus/Minus,Age,Taille en cm,Pays d'origine,Seconds,Player_id
0,Aaron Wheeler,Cholet Basket,4,17:54,7.5,0.94,3.0,5.5,54.6,0.8,1.8,42.9,0.8,1.8,42.9,4.8,2.0,2.8,0.8,0.5,1.8,0.8,2.5,1.3,1.0,26,206,United States,1074.0,CB-0W
1,Abdoulaye Saadi N'Doye,Le Mans,7,24:48,4.1,0.44,1.7,6.6,26.1,0.1,2.1,6.7,0.6,0.7,80.0,3.9,0.9,3.0,4.9,1.1,2.4,0.3,2.3,1.4,1.0,26,195,France,1488.0,LM-1N
2,Admiral Schofield,ASVEL Lyon-Villeurbanne,6,14:03,7.7,1.39,2.5,4.5,55.6,1.8,3.3,55.0,0.8,1.2,71.4,2.0,0.0,2.0,0.7,0.2,0.5,0.3,2.7,1.2,3.2,27,197,United States,843.0,AL-2S
4,Adrian Nelson,JL Bourg-en-Bresse,11,21:41,8.3,0.97,2.7,6.9,39.5,1.1,3.5,31.6,1.7,2.1,82.6,4.3,1.2,3.1,0.6,1.0,0.7,0.2,2.1,1.6,-0.7,24,198,United States,1301.0,JB-4N
7,Ahmad Caver,Nanterre 92,11,26:47,11.9,0.98,4.3,9.9,43.1,1.0,3.8,26.2,2.4,2.6,92.9,2.6,0.9,1.7,2.6,1.7,1.2,0.4,2.7,3.0,2.4,28,188,United States,1607.0,N9-7C
0,Akram Naji,Chalon Saone,4,03:02,0.8,0.77,0.3,0.5,50.0,0.0,0.0,,0.3,0.5,50.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.8,0.3,-1.7,17,190,France,182.0,CS-0N
21,Alexandre Bouzidi,CSP Limoges,7,04:23,0.6,0.29,0.0,1.0,,0.0,0.6,,0.6,0.9,66.7,0.6,0.1,0.4,0.6,0.0,0.6,0.0,0.7,0.4,1.4,20,197,France,263.0,CL-21B
11,Alexandre Pierre Louis Chassang,CSP Limoges,11,25:18,8.6,0.82,3.5,7.8,44.2,0.6,2.3,24.0,1.1,2.1,52.2,5.3,1.5,3.8,2.5,0.6,1.6,0.5,2.6,2.2,-0.4,30,204,France,1518.0,CL-11C
72,Allan Dokossi,JDA Dijon Basket,9,18:41,7.3,1.15,3.1,4.4,70.0,0.0,0.3,,1.1,2.1,52.6,5.9,2.3,3.6,1.3,0.4,1.0,0.8,2.2,1.8,-4.1,24,203,Central Africa,1121.0,JDB-72D
11,Alpha Diallo,AS Monaco Basket,7,25:52,13.0,1.17,4.7,8.4,55.9,0.4,1.9,23.1,3.1,5.1,61.1,5.0,1.4,3.6,2.1,1.0,0.4,0.3,2.6,4.6,8.3,27,201,United States,1552.0,AMB-11D
21,Andre Roberson,ASVEL Lyon-Villeurbanne,9,22:56,11.7,1.12,4.3,7.8,55.7,1.3,2.7,50.0,1.7,2.2,75.0,5.8,1.3,4.4,2.3,1.4,1.7,0.8,3.0,2.2,8.7,33,200,United States,1376.0,AL-21R
6,Antony Labanca,SLUC Nancy Basket,11,22:51,7.0,0.91,2.6,6.3,42.0,1.4,4.2,32.6,0.4,0.6,66.7,0.6,0.3,0.3,2.4,0.5,1.2,0.0,2.1,0.4,-4.5,30,185,France,1371.0,SNB-6L
83,Axel Philippe Jean Julien,JDA Dijon Basket,10,24:00,6.6,0.82,2.1,5.0,42.0,0.8,2.8,28.6,1.6,1.8,88.9,2.5,0.1,2.4,5.3,1.0,2.3,0.2,1.9,3.2,0.3,32,184,France,1440.0,JDB-83J
5,Bandja Sy,Paris Basketball,9,16:09,5.2,0.99,1.7,3.1,53.6,0.8,2.0,38.9,1.1,1.7,66.7,2.4,0.9,1.6,1.1,0.3,1.4,0.7,2.2,1.4,2.7,34,203,"France, Mali",969.0,PB-5S
32,Bastien Vautier,Cholet Basket,10,21:00,11.2,1.16,4.4,7.0,62.9,0.0,0.0,,2.4,3.4,70.6,4.7,1.4,3.3,1.9,0.3,1.2,0.4,2.7,3.4,3.2,26,210,France,1260.0,CB-32V
8,Benjamin Sene,Nanterre 92,11,27:09,13.3,1.03,5.0,10.5,47.8,1.7,3.8,45.2,1.6,1.7,89.5,2.2,0.4,1.8,3.9,0.8,1.7,0.0,2.5,2.7,5.6,30,184,France,1629.0,N9-8S
24,Billy Yakuba Ouattara,Paris Basketball,11,15:56,7.2,1.02,2.6,5.6,45.2,0.9,3.1,29.4,1.2,1.6,76.5,1.7,1.0,0.7,0.9,0.3,0.7,0.1,1.1,1.4,2.6,32,191,France,956.0,PB-24O
11,Boris Bourichon,La Rochelle Rupella,4,04:03,1.0,1.64,0.5,0.5,100.0,0.0,0.0,,0.0,0.3,,1.3,0.3,1.0,0.0,0.8,0.0,0.0,0.5,0.3,3.5,20,188,France,243.0,LRR-11B
77,Boris Dallo,Cholet Basket,2,08:58,3.0,0.86,1.0,2.5,40.0,1.0,1.5,66.7,0.0,0.0,,1.5,0.0,1.5,1.5,0.0,1.0,0.0,1.0,0.5,3.0,30,196,France,538.0,CB-77D
33,Brandon Paul,JL Bourg-en-Bresse,10,14:31,6.8,0.96,1.9,5.6,33.9,1.2,4.1,29.3,1.8,2.2,81.8,1.6,0.2,1.4,0.7,0.5,0.5,0.1,2.2,1.9,2.3,33,193,United States,871.0,JB-33P
13,Brice Dessert,SIG Strasbourg,11,19:28,11.0,1.17,4.6,6.4,72.9,0.0,0.0,,1.7,3.3,52.8,5.8,2.1,3.7,0.5,0.1,1.6,1.3,2.6,2.9,-3.4,21,207,France,1168.0,SS-13D
15,C.J. Kelly,ESSM Le Portel,8,11:25,1.9,0.54,0.5,2.3,22.2,0.1,1.0,12.5,0.8,1.1,66.7,1.1,0.1,1.0,1.3,0.5,0.8,0.1,1.6,1.3,-8.0,26,196,United States,685.0,ELP-15K
5,Caleb Walker,SLUC Nancy Basket,10,26:43,14.1,1.2,5.4,8.8,61.4,1.4,3.2,43.8,1.9,3.5,54.3,2.8,0.5,2.3,3.0,1.6,1.4,0.0,1.8,3.4,-3.2,34,193,United States,1603.0,SNB-5W
5,Charles Lombahe Kahudi,ASVEL Lyon-Villeurbanne,6,14:20,4.5,1.07,1.5,3.3,45.0,0.8,2.2,38.5,0.7,0.8,80.0,0.8,0.2,0.7,0.5,0.5,0.5,0.0,0.8,1.3,2.2,38,197,France,860.0,AL-5K
19,Chris Babb,BCM Gravelines-Dunkerque,10,27:07,15.3,1.27,4.0,9.2,43.5,3.2,7.0,45.7,4.1,4.4,93.2,2.0,0.2,1.8,1.6,0.5,0.9,0.0,1.8,4.0,0.5,34,198,United States,1627.0,BG-19B
3,Chris Clemons,SLUC Nancy Basket,9,28:06,15.2,0.84,4.9,13.7,35.8,2.6,8.1,31.5,2.9,3.4,83.9,3.1,0.2,2.9,3.0,0.9,3.0,0.0,2.2,4.8,-1.2,27,177,United States,1686.0,SNB-3C
25,Chris-Ebou Ndow,Cholet Basket,9,21:09,7.4,1.03,3.0,6.0,50.0,0.8,2.6,30.4,0.7,1.0,66.7,5.1,1.9,3.2,0.2,0.8,0.8,0.2,2.8,1.6,3.6,30,201,Norway,1269.0,CB-25N
43,Christian Sengfelder,JDA Dijon Basket,10,19:23,9.7,1.01,3.8,7.5,50.7,0.9,2.0,45.0,1.2,1.7,70.6,3.6,1.3,2.3,0.4,0.3,1.4,0.2,2.9,1.9,-7.8,29,202,Germany,1163.0,JDB-43S
2,Christopher Ebunangombe,ESSM Le Portel,1,02:21,0.0,0.0,0.0,1.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,17,194,France,141.0,ELP-2E
7,Clarence Fondeur-Massamba,AS Monaco Basket,3,01:37,1.7,0.85,0.3,1.0,33.3,0.3,1.0,33.3,0.7,0.7,100.0,0.3,0.0,0.3,0.3,0.0,0.7,0.0,0.0,0.3,1.7,19,197,France,97.0,AMB-7F
7,Clement Frisch,SLUC Nancy Basket,11,26:18,10.9,0.94,4.3,9.7,43.9,1.6,4.0,40.9,0.7,1.4,53.3,5.3,1.3,4.0,2.1,1.5,1.3,0.6,2.3,1.7,-0.4,22,201,France,1578.0,SNB-7F
2,Cleveland Hubert Melvin III,Cholet Basket,10,22:14,8.6,1.06,3.4,7.3,46.6,1.7,4.8,35.4,0.1,0.2,50.0,2.8,0.6,2.2,0.9,0.5,0.7,0.0,1.6,0.6,6.5,33,203,United States,1334.0,CB-2I
21,Clifton Moore,La Rochelle Rupella,11,19:12,10.7,1.31,4.4,6.2,70.6,0.3,0.6,42.9,1.7,2.6,67.9,3.4,1.2,2.2,0.2,0.3,0.9,0.6,2.0,1.9,-3.2,25,208,United States,1152.0,LRR-21M
1,Collin MALCOLM,Paris Basketball,10,20:38,11.1,1.14,3.8,8.3,45.8,1.6,4.5,35.6,1.9,2.4,79.2,3.7,1.2,2.5,1.4,0.5,0.4,0.2,1.2,1.9,6.2,27,201,United States,1238.0,PB-1M
34,David DiLeo,Le Mans,11,26:05,10.1,1.01,3.3,8.6,38.3,2.1,6.1,34.3,1.5,1.6,94.1,3.9,0.9,3.0,0.8,1.2,0.7,0.0,2.2,1.8,1.6,27,203,United States,1565.0,LM-34D
11,David Holston,JDA Dijon Basket,10,26:27,14.1,1.03,4.5,9.9,45.5,2.6,6.2,41.9,2.5,2.7,92.6,2.1,0.4,1.7,6.2,1.1,2.6,0.0,2.6,3.2,-3.9,38,167,United States,1587.0,JDB-11H
23,David Lighty,ASVEL Lyon-Villeurbanne,9,21:04,4.7,0.87,1.8,4.6,39.0,0.6,2.7,20.8,0.6,0.6,100.0,2.3,0.1,2.2,1.7,1.0,0.6,0.0,2.0,1.3,-0.1,36,197,United States,1264.0,AL-23L
4,Deandre Gholston,ESSM Le Portel,11,27:10,13.6,0.88,4.8,11.8,40.8,1.6,4.8,32.1,2.5,2.8,87.1,3.7,0.3,3.5,1.2,1.2,2.5,0.3,2.6,3.0,-6.2,24,195,United States,1630.0,ELP-4G
1,DeAndre Pinckney,ESSM Le Portel,5,20:18,7.4,0.85,2.6,6.2,41.9,0.6,2.4,25.0,1.6,2.4,66.7,4.6,1.8,2.8,1.0,0.6,1.4,0.0,2.8,1.6,-9.4,24,202,United States,1218.0,ELP-1P
1,Deondre Burns,ESSM Le Portel,1,20:16,6.0,0.77,1.0,4.0,25.0,1.0,1.0,100.0,3.0,4.0,75.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,3.0,5.0,-19.0,27,188,United States,1216.0,ELP-1B
23,Desi Rodriguez,Nanterre 92,11,27:50,11.7,0.91,4.9,9.5,51.9,0.6,2.3,24.0,1.4,2.0,68.2,4.7,1.5,3.3,3.4,1.9,2.6,0.4,1.6,2.8,-0.9,28,198,United States,1670.0,N9-23R
15,Devin Oliver,SLUC Nancy Basket,1,16:21,1.0,0.27,0.0,1.0,,0.0,1.0,,1.0,4.0,25.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,3.0,2.0,-7.0,32,203,United States,981.0,SNB-15O
7,Digue Diawara,ESSM Le Portel,11,26:43,11.3,1.05,3.9,8.5,46.2,1.5,3.4,43.2,2.0,2.4,84.6,4.4,0.7,3.6,0.9,0.9,1.3,0.4,2.0,2.2,-5.6,26,207,France,1603.0,ELP-7D
